year,Total_FA_Conc_WWT,Total_FA_Conc_DWT,vial_id,cruise,gis_station,area_swept,cpue,vessel,haul,sex,cw,ch_cc,crab_wgt,hepato_wwt,hepato_dwt,process_date,maturity,mid_latitude,mid_longitude,bottom_depth,gear_temperature,sample_region,lme,bsierp_region,DWT_WWT,Perc_DWT,Total_FA,WWT_DWT
2019,171.72,460.77,2019-80,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,57.93,0,67.8,0.5286,0.197,4/19/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.37268255769958386,37.26825576995839,460.7674720812182,2.6832487309644666
2019,28.68,148.29,2019-81,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,46.03,0,33.6,0.4592,0.0888,4/19/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.19337979094076657,19.33797909407666,148.30918918918917,5.171171171171171
2019,194.67,450.59,2019-82,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,44.15,0,27.6,0.4421,0.191,4/19/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.4320289527256277,43.20289527256277,450.59480104712037,2.3146596858638744
2019,125.44,471.15,2019-83,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,48.28,0,37.1,0.6682,0.1779,4/19/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.26623765339718647,26.62376533971865,471.1579988757729,3.756042720629567
2019,29.94,196.3,2019-84,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,40.82,0,22.9,0.8721,0.133,4/19/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.1525054466230937,15.25054466230937,196.32085714285714,6.557142857142857
2019,123.68,522.55,2019-85,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,45.46,0,31.1,0.6836,0.1618,4/20/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.2366881217086015,23.66881217086015,522.5441779975279,4.224969097651422
2019,60.5,284.59,2019-86,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,38.37,0,21.9,0.4464,0.0949,4/20/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.212589605734767,21.258960573476703,284.5858798735511,4.7038988408851425
2019,111.74,427.81,2019-87,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,47.75,0,35.3,0.7684,0.2007,4/20/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.2611920874544508,26.119208745445082,427.80775286497254,3.828599900348779
2019,93.54,335.47,2019-88,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,45.15,0,30.1,0.7718,0.2152,4/20/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.2788287121015807,27.882871210158072,335.4747769516729,3.5864312267657996
2019,113,373.33,2019-89,201902,EE-19,0.01291385679046815,169244.79460026347,162,19,2,41.52,0,23.8,0.4827,0.1461,4/20/2021,0,65.01169,-169.90252,50,2.8,9,NBS,13,0.3026724673710379,30.267246737103793,373.34086242299793,3.303901437371663
