REGION,STATION_ID,LONGITUDE,LATITUDE,STATION_TYPE
EBS,M-27,-174.37,59,STANDARD
EBS,M-28,-175,59,STANDARD
EBS,M-29,-175.73,59,STANDARD
EBS,M-30,-176.32,59,STANDARD
EBS,M-31,-176.95,59,STANDARD
EBS,M-32,-177.6,59,STANDARD
EBS,ML2423,-172.1,58.83,PRE1981_MISC
EBS,ML2524,-172.75,58.83,PRE1981_MISC
EBS,ML2625,-173.35,58.83,PRE1981_MISC
EBS,ML2726,-174,58.83,PRE1981_MISC
EBS,ML2827,-174.62,58.83,PRE1981_MISC
EBS,ML2928,-175.25,58.83,PRE1981_MISC
EBS,ML3029,-175.92,58.83,PRE1981_MISC
EBS,ML3130,-176.55,58.83,PRE1981_MISC
EBS,ML3231,-177.13,58.83,PRE1981_MISC
EBS,N-01,-167.92,59.33,STANDARD
EBS,N-02,-167.27,59.33,STANDARD
EBS,N-03,-166.6,59.33,STANDARD
EBS,N-04,-165.95,59.33,STANDARD
EBS,N-05,-165.32,59.33,STANDARD
EBS,N-06,-164.65,59.33,STANDARD
EBS,N-07,-164,59.33,STANDARD
EBS,N-18,-168.57,59.33,STANDARD
EBS,N-19,-169.23,59.33,STANDARD
EBS,N-20,-169.87,59.33,STANDARD
EBS,N-21,-170.53,59.33,STANDARD
EBS,N-22,-171.18,59.33,STANDARD
EBS,N-23,-171.83,59.33,STANDARD
EBS,N-24,-172.5,59.33,STANDARD
EBS,N-25,-173.15,59.33,STANDARD
EBS,N-26,-173.8,59.33,STANDARD
EBS,N-27,-174.45,59.33,STANDARD
EBS,N-28,-175.1,59.33,STANDARD
EBS,N-29,-175.75,59.33,STANDARD
EBS,N-30,-176.38,59.33,STANDARD
EBS,N-31,-177.07,59.33,STANDARD
EBS,NM2524,-172.82,59.17,PRE1981_MISC
EBS,NM2625,-173.43,59.17,PRE1981_MISC
EBS,NM2726,-174.07,59.17,PRE1981_MISC
EBS,NM2827,-174.7,59.17,PRE1981_MISC
EBS,NM2928,-175.23,59.17,PRE1981_MISC
EBS,NM3029,-176,59.17,PRE1981_MISC
EBS,NM3130,-176.63,59.17,PRE1981_MISC
EBS,NM3231,-177.27,59.17,PRE1981_MISC
EBS,O-01,-167.95,59.67,STANDARD
EBS,O-02,-167.28,59.67,STANDARD
EBS,O-03,-166.63,59.67,STANDARD
EBS,O-04,-165.97,59.67,STANDARD
EBS,O-18,-168.62,59.67,STANDARD
EBS,O-19,-169.27,59.67,STANDARD
EBS,O-20,-169.92,59.67,STANDARD
EBS,O-21,-170.58,59.67,STANDARD
EBS,O-22,-171.25,59.67,STANDARD
EBS,O-23,-171.9,59.67,STANDARD
EBS,O-24,-172.57,59.67,STANDARD
EBS,O-25,-173.23,59.67,STANDARD
EBS,O-26,-173.87,59.67,STANDARD
EBS,O-27,-174.45,59.67,STANDARD
EBS,O-28,-175.1,59.67,STANDARD
EBS,O-29,-175.87,59.67,STANDARD
EBS,O-30,-176.53,59.67,STANDARD
EBS,O-31,-177.15,59.67,STANDARD
EBS,ON2524,-172.88,59.5,MTCA_CORNER
EBS,ON2625,-173.5,59.5,MTCA_CORNER
EBS,ON2726,-174.17,59.5,PRE1981_MISC
EBS,ON2827,-174.8,59.5,PRE1981_MISC
EBS,ON2928,-175.48,59.5,PRE1981_MISC
EBS,ON3029,-176.13,59.5,PRE1981_MISC
EBS,ON3130,-176.78,59.5,PRE1981_MISC
EBS,P-01,-167.98,60,STANDARD
EBS,P-18,-168.65,60,STANDARD
EBS,P-19,-169.32,60,STANDARD
EBS,P-20,-169.97,60,STANDARD
EBS,P-21,-170.63,60,STANDARD
EBS,P-22,-171.3,60,STANDARD
EBS,P-23,-171.97,60,STANDARD
EBS,P-24,-172.63,60,STANDARD
EBS,P-25,-173.3,60,STANDARD
EBS,P-26,-173.95,60,STANDARD
EBS,P-27,-174.6,60,STANDARD
EBS,P-28,-175.27,60,STANDARD
EBS,P-29,-175.93,60,STANDARD
EBS,P-30,-176.72,60,STANDARD
EBS,P-31,-177.22,60,STANDARD
EBS,P-32,-177.93,60,STANDARD
EBS,PO2423,-172.25,59.83,MTCA_CORNER
EBS,PO2524,-172.92,59.83,MTCA_CORNER
EBS,PO2625,-173.58,59.83,MTCA_CORNER
EBS,PO2726,-174.23,59.83,MTCA_CORNER
EBS,PO2827,-174.87,59.83,PRE1981_MISC
EBS,PO2928,-175.57,59.83,PRE1981_MISC
EBS,PO3029,-176.23,59.83,PRE1981_MISC
EBS,PO3130,-176.82,59.83,PRE1981_MISC
EBS,PO3231,-177.52,59.83,PRE1981_MISC
EBS,Q-01,-167.98,60.33,STANDARD
EBS,Q-02,-167.3,60.33,STANDARD
EBS,Q-18,-168.68,60.33,STANDARD
EBS,Q-19,-169.33,60.33,STANDARD
EBS,Q-20,-170.03,60.33,STANDARD
EBS,Q-21,-170.67,60.33,STANDARD
EBS,Q-22,-171.37,60.33,STANDARD
EBS,Q-23,-172.07,60.33,STANDARD
EBS,Q-25,-173.4,60.33,STANDARD
EBS,Q-26,-174.07,60.33,STANDARD
EBS,Q-27,-174.72,60.33,STANDARD
EBS,Q-28,-175.38,60.33,STANDARD
EBS,Q-29,-176.03,60.33,STANDARD
EBS,Q-30,-176.72,60.33,STANDARD
EBS,Q-31,-177.38,60.33,STANDARD
EBS,QP2423,-172.33,60.17,MTCA_CORNER
EBS,QP2524,-173.02,60.17,MTCA_CORNER
EBS,QP2625,-173.68,60.17,MTCA_CORNER
EBS,QP2726,-174.35,60.17,MTCA_CORNER
EBS,QP2827,-175,60.17,PRE1981_MISC
EBS,QP2928,-175.68,60.17,PRE1981_MISC
EBS,QP3029,-176.37,60.17,PRE1981_MISC
EBS,QP3130,-177.02,60.17,PRE1981_MISC
EBS,QP3231,-177.63,60.17,PRE1981_MISC
EBS,R-22,-171.43,60.67,STANDARD
EBS,R-23,-172.12,60.67,STANDARD
EBS,R-24,-172.78,60.67,STANDARD
EBS,R-25,-173.47,60.67,STANDARD
EBS,R-26,-174.13,60.67,STANDARD
EBS,R-27,-174.82,60.67,STANDARD
EBS,R-28,-175.45,60.67,STANDARD
EBS,R-29,-176.2,60.67,STANDARD
EBS,R-30,-176.8,60.67,STANDARD
EBS,R-31,-177.5,60.67,STANDARD
EBS,R-32,-178.18,60.67,STANDARD
EBS,RQ2827,-175.12,60.5,PRE1981_MISC
EBS,RQ2928,-175.78,60.5,PRE1981_MISC
EBS,RQ3029,-176.47,60.5,PRE1981_MISC
EBS,RQ3130,-177.12,60.5,PRE1981_MISC
EBS,RQ3231,-177.77,60.5,PRE1981_MISC
EBS,S-22,-171.48,61,STANDARD
EBS,S-23,-172.17,61,STANDARD
EBS,S-24,-172.82,61,STANDARD
EBS,S-25,-173.5,61,STANDARD
EBS,S-26,-174.18,61,STANDARD
EBS,S-27,-174.88,61,STANDARD
EBS,S-28,-175.55,61,STANDARD
EBS,S-29,-176.28,61,STANDARD
EBS,S-30,-176.97,61,STANDARD
EBS,S-31,-177.63,61,STANDARD
EBS,SR3029,-176.55,60.83,PRE1981_MISC
EBS,SR3130,-177.23,60.83,PRE1981_MISC
EBS,SR3231,-177.72,60.83,PRE1981_MISC
EBS,T-25,-173.58,61.33,STANDARD
EBS,T-26,-174.33,61.33,STANDARD
EBS,T-27,-175,61.33,STANDARD
EBS,T-28,-175.67,61.33,STANDARD
EBS,T-29,-176.3,61.33,STANDARD
EBS,T-30,-176.97,61.33,STANDARD
EBS,TS3029,-176.67,61.17,PRE1981_MISC
EBS,TS3130,-177.32,61.17,PRE1981_MISC
EBS,U-25,-173.67,61.67,STANDARD
EBS,U-26,-174.43,61.67,STANDARD
EBS,U-27,-175.08,61.67,STANDARD
EBS,U-28,-175.78,61.67,STANDARD
EBS,U-29,-176.47,61.67,STANDARD
EBS,UT3029,-176.75,61.5,PRE1981_MISC
EBS,V-25,-173.75,62,STANDARD
EBS,V-26,-174.5,62,STANDARD
EBS,V-27,-175.17,62,STANDARD
EBS,V-28,-175.83,62,STANDARD
EBS,Z-05,-165.15,54.67,STANDARD
NBS,AA-01,-168.27,63.67,STANDARD
NBS,AA-02,-167.53,63.67,STANDARD
NBS,AA-03,-166.79,63.67,STANDARD
NBS,AA-04,-166.04,63.67,STANDARD
NBS,AA-05,-165.3,63.67,STANDARD
NBS,AA-06,-164.55,63.67,STANDARD
NBS,AA-07,-163.81,63.67,STANDARD
NBS,AA-08,-163.06,63.67,STANDARD
NBS,AA-18,-169.02,63.67,STANDARD
NBS,AA-19,-169.76,63.67,STANDARD
NBS,AA-21,-171.23,63.67,STANDARD
NBS,AA-22,-172.06,63.67,STANDARD
NBS,AA-23,-172.74,63.67,STANDARD
NBS,BB-01,-168.3,64,STANDARD
NBS,BB-02,-167.55,64,STANDARD
NBS,BB-03,-166.8,64,STANDARD
NBS,BB-04,-166.05,64,STANDARD
NBS,BB-05,-165.3,64,STANDARD
NBS,BB-06,-164.55,64,STANDARD
NBS,BB-07,-163.8,64,STANDARD
NBS,BB-08,-163.05,64,STANDARD
NBS,BB-09,-162.3,64,STANDARD
NBS,BB-10,-161.55,64,STANDARD
NBS,BB-18,-169.05,64,STANDARD
NBS,BB-19,-169.8,64,STANDARD
NBS,BB-20,-170.56,64,STANDARD
NBS,BB-21,-171.31,64,STANDARD
NBS,BB-22,-172.06,64,STANDARD
NBS,CC-01,-168.33,64.33,STANDARD
NBS,CC-02,-167.58,64.33,STANDARD
NBS,CC-03,-166.82,64.33,STANDARD
NBS,CC-04,-166.06,64.33,STANDARD
NBS,CC-05,-165.32,64.33,STANDARD
